home_team,away_team,derby_name,derby_type,derby_intensity,stall_bias,flip_bias,entropy_bias,volatility_bias,notes
FC東京,東京Ｖ,東京ダービー,local,0.92,0.35,0.42,0.55,0.48,首都圏ライバル
Ｇ大阪,Ｃ大阪,大阪ダービー,local,0.95,0.45,0.4,0.5,0.44,代表的地域ダービー
浦和,鹿島,ナショナルダービー,historical,0.88,0.22,0.58,0.61,0.57,歴史的因縁 サポーター敵対感情強
横浜FM,横浜FC,横浜ダービー,local,0.82,0.31,0.34,0.44,0.39,地域性強
福岡,鳥栖,九州ダービー,local,0.79,0.38,0.29,0.4,0.33,九州圏
FC東京,川崎F,多摩川クラシコ,historical,0.84,0.26,0.46,0.52,0.49,近年の上位対決色も強い
川崎F,横浜FM,神奈川ダービー,historical,0.86,0.24,0.55,0.58,0.56,攻撃的強豪同士で展開振れ大
浦和,大宮,さいたまダービー,local,0.96,0.41,0.44,0.63,0.58,地域対立感情極めて強い
清水,磐田,静岡ダービー,historical,0.94,0.33,0.51,0.6,0.57,静岡サッカー文化を背負う伝統カード
松本山雅,長野,信州ダービー,local,0.9,0.42,0.36,0.55,0.47,地域対立色が非常に強い
鹿島,水戸,茨城ダービー,local,0.7,0.34,0.21,0.35,0.28,県内対戦だが実力差構図あり
千葉,柏,千葉ダービー,local,0.87,0.3,0.47,0.54,0.5,県内ライバルで感情強い
仙台,山形,みちのくダービー,local,0.89,0.44,0.33,0.51,0.43,東北代表意識が強い
福岡,北九州,北九州・福岡ダービー,local,0.83,0.39,0.28,0.42,0.34,県内ライバル
