ファイルパス,ファイル名,タイプ,保持情報/機能
00_raw_html/cosaka.html,cosaka.html,データファイル,C大阪のスクレイピングされた生HTMLデータ
00_raw_html/ftokyo.html,ftokyo.html,データファイル,FC東京のスクレイピングされた生HTMLデータ
00_raw_html/fukuoka.html,fukuoka.html,データファイル,福岡のスクレイピングされた生HTMLデータ
00_raw_html/gosaka.html,gosaka.html,データファイル,G大阪のスクレイピングされた生HTMLデータ
00_raw_html/hiroshima.html,hiroshima.html,データファイル,広島のスクレイピングされた生HTMLデータ
00_raw_html/kashima.html,kashima.html,データファイル,鹿島のスクレイピングされた生HTMLデータ
00_raw_html/kashiwa.html,kashiwa.html,データファイル,柏のスクレイピングされた生HTMLデータ
00_raw_html/kobe.html,kobe.html,データファイル,神戸のスクレイピングされた生HTMLデータ
00_raw_html/kyoto.html,kyoto.html,データファイル,京都のスクレイピングされた生HTMLデータ
00_raw_html/machida.html,machida.html,データファイル,町田のスクレイピングされた生HTMLデータ
00_raw_html/nagoya.html,nagoya.html,データファイル,名古屋のスクレイピングされた生HTMLデータ
00_raw_html/niigata.html,niigata.html,データファイル,新潟のスクレイピングされた生HTMLデータ
00_raw_html/okayama.html,okayama.html,データファイル,岡山のスクレイピングされた生HTMLデータ
00_raw_html/sapporo.html,sapporo.html,データファイル,札幌のスクレイピングされた生HTMLデータ
00_raw_html/shimizu.html,shimizu.html,データファイル,清水のスクレイピングされた生HTMLデータ
00_raw_html/shonan.html,shonan.html,データファイル,湘南のスクレイピングされた生HTMLデータ
00_raw_html/tokyov.html,tokyov.html,データファイル,東京Vのスクレイピングされた生HTMLデータ
00_raw_html/urawa.html,urawa.html,データファイル,浦和のスクレイピングされた生HTMLデータ
00_raw_html/yokohamafc.html,yokohamafc.html,データファイル,横浜FCのスクレイピングされた生HTMLデータ
00_raw_html/yokohamafm.html,yokohamafm.html,データファイル,横浜FMのスクレイピングされた生HTMLデータ
01_progress_result/01_progress_results_03.py,01_progress_results_03.py,スクリプトファイル,進捗結果に関するデータ処理（詳細不明）
01_progress_result/progress_results_02.py,progress_results_02.py,スクリプトファイル,進捗結果に関するデータ処理（詳細不明）
02_stats_teams/,02_stats_teams/,ディレクトリ,チームの統計データ（CSV, HTML, XLSXなど）を格納
03_stats_players/save_team_html.py,save_team_html.py,スクリプトファイル,チームのHTMLデータを保存する機能
03_stats_players/構成.txt,構成.txt,データファイル,プレイヤー関連データの構成メモ（詳細不明）
04_team_condition/05_schedule_result_base_02.py,05_schedule_result_base_02.py,スクリプトファイル,チームコンディション/スケジュール結果ベース処理（詳細不明）
04_team_condition/05_schedule_result_base.py,05_schedule_result_base.py,スクリプトファイル,チームコンディション/スケジュール結果ベース処理（詳細不明）
04_team_condition/06_setu_to_team_01.py,06_setu_to_team_01.py,スクリプトファイル,チームへの節データのマッピング処理（詳細不明）
04_team_condition/06_setu_to_team_02.py,06_setu_to_team_02.py,スクリプトファイル,チームへの節データのマッピング処理（詳細不明）
04_team_condition/06_setu_to_team_03.py,06_setu_to_team_03.py,スクリプトファイル,チームへの節データのマッピング処理（詳細不明）
